scenario,transport,payload_bytes,concurrency,repetitions,source_files,throughput_messages_per_second,throughput_megabytes_per_second,p50_latency_ms,p95_latency_ms,p99_latency_ms,p95_inter_arrival_ms,inter_arrival_jitter_ms,duplicates,ordering_violations,pre_failure_throughput_msg_s,recovery_window_throughput_msg_s,post_recovery_throughput_msg_s,time_to_first_post_failure_message_ms,time_to_sustained_target_ms,throughput_debt_recovery_window_msg,recovery_window_p95_latency_ms,post_failure_duplicates,post_failure_ordering_violations,backlog_drain_ms
backpressure,batched-unary,1024,8,10,rq1-concept5-scenarios-no256k-20260616-synthetic-backpressure-summary-aggregated.csv;rq1-extra5-no256k-20260709-synthetic-backpressure-summary-aggregated.csv,3444.2494313068396,3.36352483526059,115.7976465,217.62374,232.17923849999997,1.5914255000000002,0.5738502563900031,0.0,0.0,,,,,,,,0.0,0.0,
backpressure,client-streaming,1024,8,10,rq1-concept5-scenarios-no256k-20260616-synthetic-backpressure-summary-aggregated.csv;rq1-extra5-no256k-20260709-synthetic-backpressure-summary-aggregated.csv,3363.09045942614,3.2842680267833453,1476.524057,1933.461645,2090.7597349999996,2.163466,0.706047743276238,0.0,0.0,,,,,,,,0.0,0.0,
backpressure,kafka,1024,8,10,rq1-concept5-scenarios-no256k-20260616-synthetic-backpressure-summary-aggregated.csv;rq1-extra5-no256k-20260709-synthetic-backpressure-summary-aggregated.csv,1347.2319518059649,1.315656202935515,3453.504838,10472.1113795,11312.613814,2.2963575,0.9613757232704601,84.5,0.0,,,,,,,,0.0,0.0,
backpressure,nats-jetstream,1024,8,10,rq1-extra5-no256k-20260709-synthetic-backpressure-summary-aggregated.csv;rq1-nats-fetchwait-20260621-synthetic-backpressure-summary-aggregated.csv,3039.569036484585,2.968329137191985,1796.8633295,3142.2169409999997,3503.2463304999997,2.1561104999999996,0.66138488850065,0.0,0.0,,,,,,,,0.0,0.0,
backpressure,rabbitmq-streams,1024,8,10,rq1-concept5-scenarios-no256k-20260616-synthetic-backpressure-summary-aggregated.csv;rq1-extra5-no256k-20260709-synthetic-backpressure-summary-aggregated.csv,3004.50584316783,2.934087737468585,1864.0240015,2572.9526180000003,2695.4196865000004,2.172892,0.70724621232485,0.0,0.0,,,,,,,,0.0,0.0,
backpressure,unary,1024,8,10,rq1-concept5-scenarios-no256k-20260616-synthetic-backpressure-summary-aggregated.csv;rq1-extra5-no256k-20260709-synthetic-backpressure-summary-aggregated.csv,2270.74976548903,2.2175290678603803,0.46728800000000004,1.05751,2.029495,3.1767584999999996,1.06852887124903,0.0,0.0,,,,,,,,0.0,0.0,
clean,batched-unary,256,1,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,50874.18312750053,12.420454865112434,0.7052487000000001,1.3360082,18.7919816,0.0006571999999999999,0.47415770273844193,0.0,0.0,,,,,,,,0.0,0.0,
clean,batched-unary,256,4,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,86526.34839588776,21.124596776339807,1.5839146000000002,6.8932902,36.378532899999996,0.0006666,0.3989129421979214,0.0,0.0,,,,,,,,0.0,0.0,
clean,batched-unary,256,8,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,101824.63529446434,24.85953010118759,1.974179,29.1466182,46.0384844,0.0006676000000000001,0.35423808305425253,0.0,0.0,,,,,,,,0.0,0.0,
clean,batched-unary,256,16,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,110346.29875861814,26.940014345365732,2.9213789,40.437645100000005,49.1172356,0.0007101000000000001,0.39041733940579904,0.0,0.0,,,,,,,,0.0,0.0,
clean,batched-unary,1024,1,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,34060.29948058903,33.262011211512736,1.1950242,2.9804014,19.9748801,0.0007151,0.5353773464612683,0.0,0.0,,,,,,,,0.0,0.0,
clean,batched-unary,1024,4,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,70252.52915450833,68.60598550244954,1.4007686,12.5471891,47.4286041,0.0006969,0.4858145225774023,0.0,0.0,,,,,,,,0.0,0.0,
clean,batched-unary,1024,8,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,73116.1229590426,71.40246382719008,2.587787,43.0390732,52.5821352,0.0007176999999999999,0.5322294670523403,0.0,0.0,,,,,,,,0.0,0.0,
clean,batched-unary,1024,16,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,70098.39633837799,68.45546517419727,4.2275052,59.2806662,63.92821719999999,0.0007434000000000001,0.5431649710206694,0.0,0.0,,,,,,,,0.0,0.0,
clean,batched-unary,4096,1,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,22985.316107928214,89.78639104659456,1.9285957,7.1849744,34.022846,0.0007152,0.7336826331263981,0.0,0.0,,,,,,,,0.0,0.0,
clean,batched-unary,4096,4,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,36308.776170556404,141.83115691623573,3.1365863000000003,41.4975862,59.042787700000005,0.000765,0.8152257975072708,0.0,0.0,,,,,,,,0.0,0.0,
clean,batched-unary,4096,8,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,41007.97221079591,160.18739144842155,5.5199055999999995,60.28203189999999,65.2270063,0.0007611,0.7683325315307765,0.0,0.0,,,,,,,,0.0,0.0,
clean,batched-unary,4096,16,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,40364.10001194283,157.6722656716516,12.407454999999999,79.8057576,93.4151586,0.0007591,0.8471639675944449,0.0,0.0,,,,,,,,0.0,0.0,
clean,batched-unary,16384,1,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,9335.264743073814,145.86351161052823,5.0423377,35.796818599999995,46.414655700000004,0.0006772999999999999,1.5179182318021058,0.0,0.0,,,,,,,,0.0,0.0,
clean,batched-unary,16384,4,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,12631.415454403903,197.36586647506118,17.2428189,68.2838487,84.6851901,0.0007861999999999999,1.638880137149782,0.0,0.0,,,,,,,,0.0,0.0,
clean,batched-unary,16384,8,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,13370.838965936093,208.91935884275136,41.5220167,93.68894,118.841039,0.000838,1.6198518665598367,0.0,0.0,,,,,,,,0.0,0.0,
clean,batched-unary,16384,16,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,12435.285655323376,194.30133836442766,98.4627566,248.4882432,272.3937846,0.0008499,1.6973236235956484,0.0,0.0,,,,,,,,0.0,0.0,
clean,client-streaming,256,1,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,102181.31229543823,24.946609447128445,4.2751946,17.279476,51.5672645,0.0024809000000000003,0.35294962796865476,0.0,0.0,,,,,,,,0.0,0.0,
clean,client-streaming,256,4,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,100738.8441356182,24.5944443690474,29.2922761,61.673920300000006,75.6343388,0.0026719,0.3219125469696972,0.0,0.0,,,,,,,,0.0,0.0,
clean,client-streaming,256,8,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,114764.63696233397,28.01871019588229,30.036240699999997,81.13268880000001,84.4012658,0.0029984,0.41341715575258925,0.0,0.0,,,,,,,,0.0,0.0,
clean,client-streaming,256,16,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,89428.32610231881,21.833087427323925,39.8954079,87.6102212,91.0223498,0.0034716000000000005,0.47101118392035196,0.0,0.0,,,,,,,,0.0,0.0,
clean,client-streaming,1024,1,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,70938.0516483979,69.27544106288859,2.0120445,37.7524254,53.71748699999999,0.0038615000000000003,0.518785981994922,0.0,0.0,,,,,,,,0.0,0.0,
clean,client-streaming,1024,4,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,73665.16569481695,71.93863837384467,35.3572589,92.68801189999999,112.79291579999999,0.004379699999999999,0.5695224043342499,0.0,0.0,,,,,,,,0.0,0.0,
clean,client-streaming,1024,8,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,65887.35603649708,64.34312112939168,35.1412839,94.07786469999999,102.7936546,0.0051107,0.6329092018996261,0.0,0.0,,,,,,,,0.0,0.0,
clean,client-streaming,1024,16,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,61662.75238466063,60.21753162564512,43.8633978,110.46077009999999,123.7731567,0.0067078,0.6181197811020415,0.0,0.0,,,,,,,,0.0,0.0,
clean,client-streaming,4096,1,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,29453.98104734712,115.05461346619968,2.2583679,40.0781813,62.389134999999996,0.0266436,0.9140556819244156,0.0,0.0,,,,,,,,0.0,0.0,
clean,client-streaming,4096,4,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,31524.20035935712,123.14140765373891,32.8844699,107.147931,120.4737245,0.015842799999999997,1.0524234767895515,0.0,0.0,,,,,,,,0.0,0.0,
clean,client-streaming,4096,8,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,30307.324406690477,118.38798596363445,74.7495916,140.88339409999998,194.5619724,0.0147219,1.0312341165341885,0.0,0.0,,,,,,,,0.0,0.0,
clean,client-streaming,4096,16,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,28425.50579682655,111.03713201885355,87.6419846,193.07268870000001,232.7699427,0.023154,1.0450575968649518,0.0,0.0,,,,,,,,0.0,0.0,
clean,client-streaming,16384,1,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,10287.197069256626,160.73745420713473,2.2128024,36.8490448,69.46696490000001,0.1800908,1.7205228526585963,0.0,0.0,,,,,,,,0.0,0.0,
clean,client-streaming,16384,4,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,14021.975900431999,219.09337344425003,55.9733617,106.4888168,144.1356648,0.0911964,1.4721143942010708,0.0,0.0,,,,,,,,0.0,0.0,
clean,client-streaming,16384,8,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,13835.77408007612,216.18397000118952,118.15327520000001,259.0316613,306.5575298,0.0881753,1.424273903499768,0.0,0.0,,,,,,,,0.0,0.0,
clean,client-streaming,16384,16,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,13507.082743147015,211.0481678616723,132.7240842,254.58929819999997,303.7941619,0.0862106,1.4782825814535991,0.0,0.0,,,,,,,,0.0,0.0,
clean,kafka,256,1,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,20145.59211769828,4.91835745060993,125.6564921,176.6952612,184.6643477,0.0039064,1.4605696418345544,0.0,0.0,,,,,,,,0.0,0.0,
clean,kafka,256,4,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,16876.201736185987,4.120166439498536,272.3551352,543.038784,600.7834323,0.0038816000000000002,1.5948453273764074,0.0,0.0,,,,,,,,0.0,0.0,
clean,kafka,256,8,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,17270.29354360757,4.216380259669822,348.7188069,562.6289265,645.9549089999999,0.0043924,1.497585149700076,0.0,0.0,,,,,,,,0.0,0.0,
clean,kafka,256,16,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,15650.892960321182,3.82101878914091,434.1042136,934.3444898000001,1001.5537452000001,0.004907,3.2311895521526295,0.0,0.0,,,,,,,,0.0,0.0,
clean,kafka,1024,1,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,16881.79151921657,16.486124530484933,121.34555730000002,191.402348,224.18174549999998,0.0054397000000000004,1.398981810298863,0.0,0.0,,,,,,,,0.0,0.0,
clean,kafka,1024,4,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,13889.140925964175,13.563614185511906,331.7355872,642.8352417,701.5485378999999,0.006283700000000001,1.6202658095437876,0.0,0.0,,,,,,,,0.0,0.0,
clean,kafka,1024,8,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,15332.187628064212,14.972839480531452,477.2771348,714.3661818,830.3505163,0.0058465999999999995,1.678801474871173,0.0,0.0,,,,,,,,0.0,0.0,
clean,kafka,1024,16,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,11837.31475627631,11.55987769167608,549.3712651,1364.3112434999998,1496.4647987,0.0057672,4.678215150130723,0.0,0.0,,,,,,,,0.0,0.0,
clean,kafka,4096,1,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,9759.794207169416,38.124196121755524,84.0092981,140.18925240000002,181.2818334,0.0162438,1.7411253728720897,0.0,0.0,,,,,,,,0.0,0.0,
clean,kafka,4096,4,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,10416.20708995165,40.68830894512372,375.6295427,867.8504401,922.1282828,0.014524800000000001,1.8719470588170772,0.0,0.0,,,,,,,,0.0,0.0,
clean,kafka,4096,8,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,10031.468050479423,39.185422072185155,629.0885492,1099.4034333,1223.71756,0.0185132,1.7470335961741335,0.5,0.0,,,,,,,,0.0,0.0,
clean,kafka,4096,16,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,8558.325843724127,33.43096032704738,725.26171,1681.5456395999997,1939.0273682,0.0128461,5.129906483553836,0.0,0.0,,,,,,,,0.0,0.0,
clean,kafka,16384,1,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,3331.0240291881664,52.0472504560651,31.626493699999997,95.4686725,114.86286079999999,0.18387550000000003,2.3858724421552666,0.0,0.0,,,,,,,,0.0,0.0,
clean,kafka,16384,4,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,3527.0502802688725,55.11016062920116,408.7004869,1983.9708372,2172.2559166,0.20157319999999998,3.293479284121447,4.6,0.0,,,,,,,,0.0,0.0,
clean,kafka,16384,8,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,3745.9893798871444,58.531084060736625,712.0760326,2015.1503842999998,2301.4734697,0.1681849,3.668352308494259,1.5,0.0,,,,,,,,0.0,0.0,
clean,kafka,16384,16,10,rq1-concept5-clean-no256k-20260615-synthetic-clean-summary.csv;rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv,3449.5205211114917,53.89875814236702,4456.078253199999,5977.733626200001,6629.022731300001,0.1010747,7.246677026376057,3.9,0.0,,,,,,,,0.0,0.0,
clean,nats-jetstream,256,1,10,rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv;rq1-nats-fetchwait-20260621-synthetic-clean-summary-aggregated.csv,16616.75389143555,4.05682468052626,422.361089,648.1755159999999,660.001655,0.0076834999999999985,0.6387652991405005,0.0,0.0,,,,,,,,0.0,0.0,
clean,nats-jetstream,256,4,10,rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv;rq1-nats-fetchwait-20260621-synthetic-clean-summary-aggregated.csv,20470.03794978755,4.99756785883486,359.2293745,561.1789940000001,594.944803,0.005691,0.7139140133970775,0.0,0.0,,,,,,,,0.0,0.0,
clean,nats-jetstream,256,8,10,rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv;rq1-nats-fetchwait-20260621-synthetic-clean-summary-aggregated.csv,18883.85817876395,4.61031693817479,427.21643000000006,674.461548,736.64598,0.0055735,0.7456912116515555,0.0,0.0,,,,,,,,0.0,0.0,
clean,nats-jetstream,256,16,10,rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv;rq1-nats-fetchwait-20260621-synthetic-clean-summary-aggregated.csv,20449.46303378765,4.9925446859833205,472.64045000000004,663.9916575,730.1182204999999,0.006071999999999999,0.6985675222365465,0.0,0.0,,,,,,,,0.0,0.0,
clean,nats-jetstream,1024,1,10,rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv;rq1-nats-fetchwait-20260621-synthetic-clean-summary-aggregated.csv,14211.379815998149,13.8783006015607,456.345053,740.448052,779.7069935000001,0.009224,0.8708838465212828,0.0,0.0,,,,,,,,0.0,0.0,
clean,nats-jetstream,1024,4,10,rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv;rq1-nats-fetchwait-20260621-synthetic-clean-summary-aggregated.csv,16786.58214138075,16.393146622442153,474.05394749999994,719.6463470000001,752.826693,0.0072625,0.8231036039297445,0.0,0.0,,,,,,,,0.0,0.0,
